ID,상호명,카테고리,업종,주소,지역권,메인메뉴,가격_원,주차유형,혼밥,가족식사,단체수용
115,조기종의향미각 전주점,중식,중식당,전북특별자치도 전주시 덕진구 금암동 1596-7,전북대·금암동권,꼬막 짬뽕,10000,없음,추천,추천,가능
116,아서원1920 전주본점,중식,중식당,전북특별자치도 전주시 덕진구 송천동2가 1422 파인트리몰 3층,송천동·에코시티권,"짬뽕, 짜장",18000,파인트리몰 지하주차장,가능,추천,추천
117,해태바베큐,패스트 푸드,"치킨,닭강정",전북특별자치도 전주시 완산구 경원동2가 7-6,한옥마을·남부시장권,바베큐 치킨,24000,전용 없음·인근 공영주차장,비추천,가능,가능
118,후켄,패스트 푸드,"치킨,닭강정",전북특별자치도 전주시 완산구 서신동 765-1 전주아아파트,서신동권,후라이드치킨,22000,없음,가능,가능,미확인
119,코지버거,패스트 푸드,햄버거,전북특별자치도 전주시 덕진구 덕진동1가 1263-9 1층,전북대·덕진공원권,수제버거,12000,전북대 인근 유료·공영,추천,가능,비추천
120,잇미버거,패스트 푸드,햄버거,전북특별자치도 전주시 덕진구 송천동2가 1327-8 1층 110호 eatmeburger,송천동·에코시티권,수제버거,12000,인근 공영주차장,추천,추천,제한적
121,길손네학사주점,한식,"전통,민속주점",전북특별자치도 전주시 덕진구 덕진동1가 664-25,전북대·덕진공원권,"닭볶음탕, 제육볶음",28000,전북대 인근 유료·공영,비추천,제한적,추천
122,지복점,한식,한식,전북특별자치도 전주시 완산구 전동3가 61 1층,한옥마을·남부시장권,숯불 함박,15000,없음,비추천,추천,가능
123,또순이네집,한식,한식,전북특별자치도 전주시 완산구 고사동 443-6,객사·객리단길권,김치찜,12000,없음,비추천,추천,가능
124,독도쭈꾸미,한식,한식,전북특별자치도 전주시 완산구 서신동 830-7,서신동권,쭈꾸미볶음,14000,없음,비추천,추천,가능
125,춘포집,한식,한식,전북특별자치도 전주시 완산구 서신동 1015-10,서신동권,"새우, 능이백숙, 닭볶음탕",45000,주차 가능,비추천,추천,가능
126,다산돼지와낙지 본점,한식,한식,전북특별자치도 전주시 완산구 효자동3가 1530-5 에코빌딩 1층,효자동·신시가지권,"매운갈비찜, 낙지",21000,주차 가능,비추천,추천,가능
127,림밀,한식,한식,전북특별자치도 전주시 완산구 효자동3가 1527-5 청담스토리빌딩 1층,효자동·신시가지권,솥밥,14000,건물 주차 지원,추천,추천,제한적
128,계도리,한식,한식,전북특별자치도 전주시 덕진구 덕진동1가 1314-185 1층 계도리,전북대·덕진공원권,닭볶음탕,36000,없음,비추천,추천,가능
129,정다운집,한식,한식,전북특별자치도 전주시 덕진구 금암동 756-10 1층 정다운집,전북대·금암동권,"곤드레밥, 표고밥",7000,전용 없음·골목/공영,추천,가능,제한적
130,고기듬뿍 국물두루치기 본점,한식,한식,전북특별자치도 전주시 덕진구 덕진동1가 1314-174 1층 고기듬뿍국물두루치기 본점,전북대·덕진공원권,국물두루치기,14000,없음,비추천,추천,가능
131,김치찌개잘하는집,한식,한식,전북특별자치도 전주시 덕진구 덕진동1가 1314-161 2층,전북대·덕진공원권,김치찌개,16000,없음,가능,가능,가능
132,동동회관 전주하가지구본점,한식,한식,전북특별자치도 전주시 덕진구 덕진동2가 678-1 101호,하가지구·덕진공원권,닭볶음탕,35000,없음,비추천,추천,가능
133,만성동코다리촌,한식,한식,전북특별자치도 전주시 덕진구 만성동 234-1 1층 101~105호,만성동·혁신도시권,코다리 조림,13000,없음,가능,추천,추천
134,성게향,한식,"해물,생선요리",전북특별자치도 전주시 덕진구 덕진동1가 1404-39,전북대·덕진공원권,"성게미역국, 고갈비",32000,없음,비추천,추천,가능
135,어시장,해산물,생선회,전북특별자치도 전주시 완산구 다가동3가 53-5 1층,객사·객리단길권,"회, 숙성회",45000,없음,비추천,제한적,비추천
136,목포홍어횟집,해산물,생선회,전북특별자치도 전주시 완산구 중화산동2가 533-2 목포홍어횟집,중화산동권,홍어삼합,55000,없음,비추천,추천,가능
137,어민횟집,해산물,생선회,전북특별자치도 전주시 완산구 효자동2가 1327-3,효자동·서곡권,회,13000,없음,가능,추천,가능
138,덕호수산 금암점,해산물,생선회,전북특별자치도 전주시 덕진구 금암동 1591-24,전북대·금암동권,회,55000,골목 주차,비추천,가능,가능
139,백김치새싹막회 우아본점,해산물,생선회,전북특별자치도 전주시 덕진구 우아동3가 748-9 1층 백김치새싹막회 우아본점,전주역·아중리권,"회, 숙성회",47000,주차 불가,비추천,추천,가능
140,새만금,해산물,생선회,전북특별자치도 전주시 덕진구 우아동3가 747-44,전주역·아중리권,회,65000,없음,비추천,가능,가능
141,전주예산집아구탕,해산물,"아귀찜,해물찜",전북특별자치도 전주시 완산구 서노송동 686-4 전주예산집아구탕,객사·객리단길권,"아구탕, 아구수육",45000,없음,비추천,추천,가능
142,효자수산,해산물,요리주점,전북특별자치도 전주시 완산구 중앙동1가 31-1 1층 효자수산,객사·객리단길권,회,45000,없음,비추천,제한적,가능
143,동락,해산물,일식당,전북특별자치도 전주시 완산구 중앙동3가 88-1 동락,객사·객리단길권,"회, 민어",20000,없음,추천,가능,제한적
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,"한식, 일식, 중식, 주점, 분식, 해산물, 양식, 패스트푸드, 국물요리,고기",,,,,,,,,,
